id|customerid|branchid|parent_customer_id|customer_id|site_id|installation_number|productid|productvalidfrom|productvalidthru|installationdate|installation_status|client_mapping_id|company_profile_id|company_parent_id
4748|NS6021060001171|1515743963692||387|||NM1011|1/31/2023|1/30/2024|5/7/2019|A|||
4748|NS6021060001171|1515743963692||387|||NM1011|1/31/2023|1/30/2024|5/7/2019|A|||
4747|NS6021060001171|1479891986366||387|||ND6150|1/31/2023|1/30/2024|1/31/2023|A|||
2986|NS6021070001016|1517454534617||303|||NM1011|12/1/2021|11/30/2022|12/4/2017|A|||
1496|NS6021070001016|1464860424154||303|||ND6BSC1|6/1/2017|5/31/2018|6/1/2017|A|||
5829|NS6021070001016|1517454534617||303|||ND6320|12/1/2021|11/30/2022|12/4/2017|A|||
2761|NS6021070001078|1512373527900|302|305|||ND6321|12/1/2021|11/30/2022|12/1/2021|A|||
2987|NS6021070001078|1512373527900|302|305|||NM1011|12/1/2021|11/30/2022|12/1/2021|A|||
3773|NS6021070001078|1512373527900|302|305|||NM1011|2/12/2022|2/11/2023|2/12/2020|A|||
3778|NS6021070001078|1473241566944|302|305|||ND6150|9/1/2021|8/31/2022|9/1/2021|A|||
7161|NS6021070001097|1572238376319||291|||ND6150|10/1/2022|10/1/2023|10/30/2019|A|||
4623|NS6021070001097|1474527967002||291|||NM1011|6/26/2022|6/25/2023|6/26/2020|A|||
7068|NS6021070001097|1474527967002||291|||NM1011|7/28/2022|7/27/2023|7/28/2022|A|||
4814|NS6021070001097|1474527967002||291|||NM1011|7/27/2022|7/26/2023|7/27/2020|A|||
6458|NS6021070001116|1476179706254||404|||ND6150|10/1/2022|10/1/2023|10/1/2022|A|||
6572|NS6021070001123|1478706395623||314|||ND6150|11/1/2022|10/31/2023|11/1/2022|A|||
6535|NS6021070001223|1482463093130||290|||ND6150|1/1/2023|12/31/2023|7/6/2020|A|||
5596|NS6021070001224|1483349534675||290|||ND6150|1/1/2023|12/31/2023|1/1/2023|A|||
7306|NS6021080001121|1478579140143||359|||ND6150|12/1/2022|11/30/2023|7/25/2017|A|||
3481|NS6021090001042|1508216311132||259|||NM1011|11/26/2020|11/25/2021|11/26/2019|A|||
3480|NS6021090001042|1470159939784||259|||ND6150|8/1/2022|7/31/2023|8/1/2022|A|||
6852|NS6021090001042|1508216311132||259|||ND6321|11/1/2022|10/31/2023|1/8/2022|A|||
4833|NS6021090001042|1508216311132||259|||ND6321|11/1/2022|10/31/2023|1/8/2022|A|||
4834|NS6021090001042|1536736437917||259|||NM1011|11/1/2022|10/31/2023|9/17/2018|A|||
5356|NS6021090001136|1481084352794||277|||NM1011|12/1/2022|11/30/2023|12/1/2022|A|||
5357|NS6021090001136|1481084352794||277|||ND6150|12/1/2022|11/30/2023|12/1/2022|A|||
4835|NS6021090001172|1536737057853||327|||NM1011|9/17/2022|9/16/2023|9/17/2018|A|||
2984|NS6021090001172|1511148971145||327|||NM1011|12/1/2022|11/30/2023|12/20/2018|A|||
2985|NS6021090001172|1536737057853||327|||NM1011|4/10/2023|4/9/2024|4/10/2019|A|||
2754|NS6021090001172|1511148971145||327|||ND6321|12/1/2022|11/30/2023|12/20/2017|A|||
4821|NS6021090001172|1511148971145||327|||NM1011|7/28/2020|7/27/2021|7/27/2020|A|||
7269|NS6021090001172|1536737057853||327|||ND6328|9/17/2022|9/16/2023|9/10/2022|A|||
7091|NS6021100001173|1484024055421||326|||ND6150|1/1/2023|12/31/2023|1/16/2017|A|||
6420|NS6022020001096|1509950168219|856|890|||NM1011|2/8/2022|2/7/2023|2/8/2021|A|||
5065|NS6022020001096|1509950168219|856|890|||ND6321|10/1/2022|9/30/2023|11/9/2017|A|||
4331|NS6022020001096|1509950168219|856|890|||NM1011|10/1/2022|9/30/2023|7/30/2017|A|||
3589|NS6022020001106|1476350139947||874|||ND6150|10/1/2022|9/30/2023|10/1/2022|A|||
5481|NS6022020001126|1536301450906||865|||ND6321|9/19/2022|9/18/2023|9/17/2018|A|||
5487|NS6022020001126|1536301450906||865|||NM1011|9/19/2021|9/18/2022|2/28/2020|A|||
5487|NS6022020001126|1536301450906||865|||NM1011|9/19/2021|9/18/2022|2/28/2020|A|||
5485|NS6022020001126|1536301450906||865|||NM1011|9/19/2022|9/18/2023|9/17/2018|A|||
7620|NS6022020001126|1478486681818||865|||ND6150|9/19/2022|9/18/2023|11/22/2016|A|||
5482|NS6022020001126|1536301450906||865|||NM1011|9/19/2022|9/18/2023|2/28/2020|A|||
5208|NS6022020001127|1478484265296||868|||ND6150|11/1/2021|10/31/2022|11/1/2021|A|||
7538|NS6022020001128|1478499941198||958|||ND6150|1/1/2023|12/31/2023|11/22/2016|A|||
4907|NS6022030001079|1473310055465|||||NM1011|9/1/2022|8/31/2023|9/1/2022|A|||
4645|NS6022030001080|1473311894033||913|||NM1011|6/30/2022|6/29/2023|6/30/2020|A|||
4803|NS6022030001080|1473311894033||913|||NM1011|9/1/2022|8/31/2023|9/1/2022|A|||
6315|NS6022030001080|1473311894033||913|||NM1011|7/13/2022|7/12/2023|7/13/2021|A|||
4802|NS6022030001080|1473311894033||913|||ND6150|9/1/2022|8/31/2023|9/1/2022|A|||
4778|NS6022030001081|1473310942087||912|||NM1011|9/1/2022|8/31/2023|9/1/2022|A|||
2840|NS6022030001150|1523002606237||917|||NM1011|11/1/2021|10/31/2022|4/6/2018|A|||
6650|NS6022030001150|1481011185954||917|||ND6150|1/1/2023|12/31/2023|12/21/2016|A|||
5608|NS6022030001151|1481010803832||898|||ND6150|1/1/2023|12/31/2023|12/21/2016|A|||
1593|NS6022030001154|1509003438510||901|||ND6321|11/1/2017|10/31/2018|10/30/2017|A|||
1596|NS6022030001154|1509003438510||901|||NM1011|11/1/2017|10/31/2018|10/30/2017|A|||
1600|NS6022030001180|1547519792129||800|||ND6150|1/24/2023|1/23/2024|1/24/2019|A|||
1607|NS6022040001182|1481264473347|||||ND6MIGRASI|1/1/2017|12/31/2017|1/1/2017|A|||
1608|NS6022040001185|1531385474253||791|||ND6250|7/16/2022|7/15/2023|7/16/2018|A|||
3807|NS6022050001124|1478678551923||895|||ND6260|11/1/2022|10/31/2023|7/23/2018|A|||
3516|NS6022050001124|1478678551923||895|||ND6150|11/1/2022|10/31/2023|11/1/2022|A|||
5606|NS6022050001143|1480907626666||785|||ND6150|12/1/2022|11/30/2023|12/1/2022|A|||
5364|NS6022050001148|1478833988194||786|||ND6150|12/1/2022|11/30/2023|12/1/2022|A|||
6044|NS6022050001158|1522294496559||799|||ND6250|4/5/2023|4/4/2024|4/5/2018|A|||
1636|NS6023010001087|1473905437882|||||ND6MIGRASI|9/1/2016|8/31/2017|9/1/2016|A|||
1642|NS6023010001174|1480488425007|||||ND6MIGRASI|12/1/2017|11/30/2018|12/1/2017|A|||
1644|NS6023010001188|1490169264652||111|||ND6120|4/1/2023|3/31/2024|4/1/2023|A|||
5512|NS6023010001204|1480061388127|30|62|||NM1011|12/1/2022|11/30/2023|9/14/2018|A|||
4628|NS6023010001204|1480061388127|30|62|||NM1011|6/26/2021|6/25/2022|6/26/2020|A|||
2811|NS6023010001204|1480061388127|30|62|||NM1011|2/15/2021|2/14/2022|2/15/2019|A|||
5511|NS6023010001204|1480061388127|30|62|||NT1010|12/1/2022|11/30/2023|2/15/2019|A|||
2853|NS6023010001250|1491894680376||78|||NM1011|2/17/2023|2/16/2024|2/15/2019|A|||
1646|NS6023010001264|1491816196529||76|||ND6250|5/1/2022|4/30/2023|4/17/2017|A|||
1648|NS6023010001265|1491817600110||77|||ND6250|5/1/2022|4/30/2023|4/17/2017|A|||
5098|NS6023020001109|1476245048763||948|||ND6150|10/1/2022|9/30/2023|10/1/2022|A|||
5072|NS6023020001112|1475935773311||12|||ND6150|10/1/2022|9/30/2023|10/1/2022|A|||
5584|NS6023030001073|1472202228650||431|||ND6150|12/1/2022|11/30/2023|12/1/2022|A|||
5585|NS6023030001073|1472202228650||431|||NM1011|12/1/2022|11/30/2023|12/1/2022|A|||
1679|NS6023030001088|1493116239640|406|475|||ND6150|3/26/2023|3/25/2024|3/26/2018|A|||
5094|NS6023030001108|1475903680640||462|||ND6150|9/30/2022|9/30/2023|9/30/2022|A|||
5345|NS6023030001137|1479877118794||435|||ND6150|12/1/2022|11/30/2023|12/1/2022|A|||
7025|NS6023030001153|1478854028997|||||ND6150|12/1/2022|11/30/2023|12/1/2022|A|||
1697|NS6023030001156|1509628126440||29|||NM1011|4/1/2019|3/31/2020|6/11/2017|A|||
1697|NS6023030001156|1509628126440||29|||NM1011|4/1/2019|3/31/2020|6/11/2017|A|||
6105|NS6023030001164|1588212996285||52|||ND6321|5/11/2022|5/10/2023|5/11/2021|A|||
7560|NS6023030001164|1479871607565||52|||ND6150|1/1/2023|12/31/2023|1/1/2023|A|||
7561|NS6023030001164|1479871607565||52|||ND6150|1/1/2023|12/31/2023|1/1/2023|A|||
6106|NS6023030001164|1588212996285||52|||NM1011|5/11/2022|5/10/2023|5/11/2021|A|||
1702|NS6023030001164|1509419810782||52|||NM1011|11/1/2017|10/31/2018|11/2/2017|A|||
1699|NS6023030001164|1509419810782||52|||ND6321|11/1/2017|10/31/2018|11/2/2017|A|||
6559|NS6023030001211|1565861846727|||||ND6120|8/5/2022|8/4/2023|8/5/2019|A|||
2827|NS6023030001227|1538992487756||106|||NM1011|2/2/2023|1/31/2024|1/28/2019|A|||
2728|NS6023030001227|1548147870439||106|||ND6320|2/2/2023|1/31/2024|1/28/2019|A|||
5850|NS6023030001227|1538992487756||106|||NM1011|12/30/2020|12/29/2021|2/11/2020|A|||
5206|NS6023030001227|1548147870439||106|||NM1011|9/4/2022|9/3/2023|9/4/2019|A|||
4150|NS6023030001227|1548147870439||106|||NM1011|4/14/2023|4/13/2024|4/14/2020|A|||
6096|NS6023030001227|1538992487756||106|||NM1011|2/2/2023|1/31/2024|2/2/2023|A|||
4038|NS6023030001247|1487741875111|||||NM1011|3/27/2023|3/26/2024|3/27/2020|A|||
4175|NS6023030001247|1487741875111|||||NT1010|12/1/2022|11/30/2023|2/19/2019|A|||
5670|NS6023030001247|1487741875111|||||ND6321|12/1/2022|11/30/2023|12/14/2017|A|||
5671|NS6023030001247|1487741875111|||||NM1011|12/1/2022|11/30/2023|2/19/2019|A|||
3504|NS6023030001247|1487741875111|||||ND6120|3/27/2023|3/26/2024|5/30/2018|A|||
1716|NS6023030001262|1491207670897|||||ND6030|5/1/2017|4/30/2018|4/25/2017|A|||
5932|NS6023040001117|1477031063093|572|588|||NT1010|12/6/2021|12/5/2022|3/15/2019|A|||
7298|NS6023040001117|1477031063093|572|588|||ND6328|12/6/2022|12/5/2023|9/24/2022|A|||
7433|NS6023040001117|1477031063093|572|588|||NM1011|12/6/2022|12/5/2023|12/11/2017|A|||
3547|NS6023040001175|1487037693952||592|||ND6150|3/1/2023|2/28/2024|2/20/2017|A|||
3548|NS6023040001177|1487042732487||618|||ND6150|3/1/2023|2/28/2024|2/27/2017|A|||
1747|NS6023040001181|1479874152364|||||ND6MIGRASI|1/1/2017|12/31/2017|1/1/2017|A|||
1749|NS6023040001183|1480295963701|||||ND6MIGRASI|1/1/2017|12/31/2017|1/1/2017|A|||
3403|NS6023040001219|1486694925799||648|||ND6150|2/1/2023|1/31/2024|2/1/2023|A|||
1760|NS6023060001017|1464147887903|||||ND6PREAL|6/1/2017|5/31/2018|6/1/2017|A|||
1762|NS6023060001035|1470381686061|||||ND6PREAL|8/1/2016|7/31/2017|8/1/2016|A|||
1763|NS6023060001036|1469166571464|||||ND6PREAL|8/1/2016|7/31/2017|8/1/2016|A|||
1764|NS6023060001037|1469760739009|||||ND6PREAL|8/1/2016|7/31/2017|8/1/2016|A|||
1765|NS6023060001038|1471854223487|||||ND6PREAL|8/1/2016|7/31/2017|8/1/2016|A|||
1766|NS6023060001039|1470989314279|||||ND6PREAL|8/1/2016|7/31/2017|8/1/2016|A|||
1767|NS6023060001040|1471590094525|||||ND6PREAL|8/1/2016|7/31/2017|8/1/2016|A|||
1769|NS6023060001083|1473390520206|||||ND6PREAL|9/1/2016|8/31/2017|9/1/2016|A|||
2627|NS6023060001176|1530691019751||698|||ND6321|7/9/2022|7/8/2023|7/9/2018|A|||
4774|NS6023060001176|1530691019751||698|||NT1010|7/9/2021|7/8/2022|4/5/2019|A|||
2883|NS6023060001176|1530691019751||698|||NM1011|7/9/2022|7/8/2023|7/9/2018|A|||
2883|NS6023060001176|1530691019751||698|||NM1011|7/9/2022|7/8/2023|7/9/2018|A|||
7535|NS6023060001176|1481262845215||698|||ND6150|1/1/2023|12/31/2023|1/1/2023|A|||
3404|NS6023060001228|1486100146006||700|||ND6150|2/1/2023|1/31/2024|2/6/2017|A|||
3065|NS6023060001228|1486100146006||700|||NM1011|8/22/2022|8/21/2023|8/22/2019|A|||
1779|NS6023060001244|1491211097506|||||ND6030|5/1/2017|4/30/2018|4/17/2017|A|||
1785|NS6024040001021|1466064363239|||||ND6PRE1|7/1/2016|6/30/2017|7/1/2016|A|||
3182|NS6024040001082|1473311388254||911|||NM1011|9/1/2022|8/31/2023|9/1/2018|A|||
6665|NS6024040001082|1473311388254||911|||ND6328|9/1/2022|8/31/2023|1/8/2022|A|||
1790|NS6024050000995|1460600741237||1018|||ND6NEW|4/1/2023|3/31/2024|4/19/2016|A|||
1791|NS6024050001002|1462853162975|||||MobileSFA1|12/1/2016|11/30/2017|12/1/2016|A|||
4764|NS6024050001031|1468381449586||814|||ND6120|7/1/2022|6/30/2023|7/1/2022|A|||
2748|NS6024050001138|1531820047221||1072|||ND6321|7/23/2021|7/22/2022|7/23/2018|A|||
2851|NS6024050001138|1531820047221||1072|||NM1011|7/23/2021|7/22/2022|7/23/2018|A|||
6035|NS6024050001138|1479862805966||1072|||ND6150|12/1/2021|11/30/2022|12/1/2021|A|||
6001|NS6024050001138|1531820047221||1072|||NT1010|7/23/2021|7/22/2022|5/8/2019|A|||
6478|NS6024050001146|1479460373013||992|||NM1011|10/6/2022|10/5/2023|10/6/2021|A|||
1802|NS6024050001146|1479460373013||992|||ND6MIGRASI|12/1/2022|11/30/2023|12/1/2022|A|||
6428|NS6024060001018|1465265157793|1030|1036|||ND6320|6/1/2022|5/31/2023|6/1/2022|A|||
6427|NS6024060001018|1465265157793|1030|1036|||NM1011|6/1/2022|5/31/2023|12/4/2017|A|||
1806|NS6024060001145|1479466383839|992|1037|||ND6MIGRASI|12/1/2022|11/30/2023|12/1/2022|A|||
7470|NS6024060001147|1512550069232||1050|||NM1011|11/30/2022|11/30/2023|4/18/2019|A|||
6019|NS6024060001147|1512550069232||1050|||NM1011|11/30/2022|11/29/2023|3/11/2020|A|||
7470|NS6024060001147|1512550069232||1050|||NM1011|11/30/2022|11/30/2023|4/18/2019|A|||
4546|NS6025010001010|1466564522894|936|941|||NM1011|6/9/2022|6/8/2023|6/8/2020|A|||
4545|NS6025010001010|1466564522894|936|941|||NM1011|6/9/2022|6/8/2023|6/8/2020|A|||
1810|NS6025010001010|1538718310964|936|941|||ND6121|10/9/2022|10/8/2023|10/9/2018|A|||
2979|NS6025010001010|1466564522894|936|941|||NM1011|2/28/2023|2/27/2024|2/28/2019|A|||
5610|NS6025010001010|1466564522894|936|941|||ND6150|1/1/2023|12/31/2023|6/27/2016|A|||
4545|NS6025010001010|1466564522894|936|941|||NM1011|6/9/2022|6/8/2023|6/8/2020|A|||
3104|NS6025010001010|1538718310964|936|941|||NM1011|9/2/2022|9/1/2023|9/2/2019|A|||
4546|NS6025010001010|1466564522894|936|941|||NM1011|6/9/2022|6/8/2023|6/8/2020|A|||
5302|NS6025010001191|1520647150286||945|||ND6321|4/6/2022|4/5/2023|3/12/2018|A|||
6828|NS6025010001191|1520647150286||945|||NM1011|5/6/2021|5/5/2022|3/12/2021|A|||
6839|NS6025010001191|1520647150286||945|||NM1011|4/6/2022|4/5/2023|3/12/2018|A|||
5928|NS6025010001191|1520647150286||945|||NM1011|3/12/2022|3/11/2023|3/12/2021|A|||
2572|NS6025010001208|1556205446232||927|||ND6151|6/21/2022|6/20/2023|6/19/2019|A|||
6903|NS6025020000996|1463708208559||1230|||ND6180|5/1/2023|5/1/2024|5/3/2021|A|||
5352|NS6025030001140|1478676423261||978|||NM1011|12/1/2021|11/30/2022|12/1/2017|A|||
2688|NS6025030001140|1478676423261||978|||ND6320|12/1/2021|11/30/2022|12/1/2018|A|||
4962|NS6026030001226|1509337008673||1105|||NM1011|5/19/2022|5/18/2023|5/19/2020|A|||
2717|NS6026030001226|1509337008673||1105|||ND6321|11/1/2022|10/31/2023|10/30/2017|A|||
5643|NS6026030001257|1515045396867|||||ND6120|1/1/2023|12/31/2023|1/8/2018|A|||
2896|NS6026040001015|1643176086023||1109|||NM1011|1/1/2023|1/1/2024|1/8/2018|A|||
3407|NS6026040001212|1485483686035||1127|||ND6150|2/1/2023|1/31/2024|2/1/2023|A|||
2803|NS6026040001252|1509693485536||1129|||NM1011|11/1/2022|10/31/2023|11/6/2017|A|||
2703|NS6026040001252|1509693485536||1129|||ND6320|11/1/2022|10/31/2023|11/6/2017|A|||
5158|NS6031010001871|1544172664101||174|||NM1011|10/15/2021|10/14/2022|10/15/2020|A|||
1832|NS6031010001871|1551408445440||174|||NF6210|12/3/2021|12/2/2022|12/3/2018|A|||
5588|NS6031010001871|1544172664101||174|||ND6272|12/3/2021|12/2/2022|12/3/2018|A|||
1833|NS6031010001871|1544172747078||174|||NM1011|12/3/2021|12/2/2022|12/3/2018|A|||
5587|NS6031010001871|1544172747078||174|||ND6270|12/3/2021|12/2/2022|12/3/2018|A|||
4263|NS6031020001457|1529897668978||491|||NM1011|2/1/2023|1/31/2024|6/25/2019|A|||
4260|NS6031020001457|1529897668978||491|||NM1011|2/1/2023|1/31/2024|6/25/2019|A|||
4262|NS6031020001457|1529897668978||491|||ND6120|2/1/2023|1/31/2024|6/25/2018|A|||
4263|NS6031020001457|1529897668978||491|||NM1011|2/1/2023|1/31/2024|6/25/2019|A|||
4280|NS6031020001457|1516251418692||491|||NT1010|2/1/2023|1/31/2024|7/2/2019|A|||
4260|NS6031020001457|1529897668978||491|||NM1011|2/1/2023|1/31/2024|6/25/2019|A|||
5355|NS6031020001620|1569896952169|||||NT1010|10/10/2021|10/9/2022|12/20/2019|A|||
3254|NS6031020001620|1569896952169|||||ND6320|10/10/2022|10/9/2023|10/10/2019|A|||
5354|NS6031020001620|1569896952169|||||NM1011|10/10/2022|10/9/2023|10/10/2019|A|||
1840|NS6031020001724|1535353839181|||||ND6250|9/3/2021|9/2/2022|9/3/2018|A|||
3379|NS6031020001776|1537864561343||123|||NM1011|10/1/2022|9/30/2023|10/1/2018|A|||
2722|NS6031020001776|1537864561343||123|||ND6320|10/1/2022|9/30/2023|10/1/2018|A|||
1842|NS6031020001870|1543824473713||140|||ND6270|12/3/2021|12/2/2022|12/3/2018|A|||
3497|NS6031020002103|1549526253944||129|||NM1011|11/4/2022|11/4/2023|11/4/2019|A|||
2830|NS6031020002103|1549526253944||129|||NM1011|2/11/2022|2/10/2023|2/11/2019|A|||
2732|NS6031020002103|1549526253944||129|||ND6320|2/11/2022|2/10/2023|2/11/2019|A|||
1847|NS6031030001306|1502761959516||223|||ND6150|9/1/2022|8/31/2023|9/1/2022|A|||
3240|NS6031030001944|1548728639720||227|||NM1011|9/25/2019|9/24/2020|9/25/2019|A|||
4768|NS6031030001944|1548728639720||227|||NM1011|2/25/2023|2/25/2024|2/25/2019|A|||
4766|NS6031030001944|1548728639720||227|||ND6150|2/25/2023|2/25/2024|2/7/2019|A|||
5573|NS6031030002834|1610958288034||223|||ND6320|1/25/2023|1/24/2024|1/25/2021|A|||
1851|NS6031040001450|1517294240148||200|||ND6120|2/1/2023|1/31/2024|1/15/2018|A|||
5796|NS6031040001943|1548733021159|209|751|||NM1011|2/21/2023|2/21/2024|2/21/2019|A|||
5796|NS6031040001943|1548733021159|209|751|||NM1011|2/21/2023|2/21/2024|2/21/2019|A|||
5794|NS6031040001943|1548733021159|209|751|||ND6150|2/21/2023|2/21/2024|2/21/2019|A|||
6576|NS6031040001943|1548733021159|209|751|||NM1011|11/24/2022|11/23/2023|11/24/2021|A|||
4824|NS6031040002149|1554176494597||209|||ND6120|4/4/2023|4/4/2024|4/8/2019|A|||
4825|NS6031040002149|1554176494597||209|||NM1011|4/4/2023|4/4/2024|9/8/2019|A|||
4825|NS6031040002149|1554176494597||209|||NM1011|4/4/2023|4/4/2024|9/8/2019|A|||
3902|NS6031050002424|1577936149538||376|||NM1011|3/10/2022|3/9/2023|3/9/2020|A|||
3571|NS6031050002424|1577936149538||376|||ND6320|1/6/2023|1/5/2024|1/6/2020|A|||
3625|NS6031050002424|1577936149538||376|||NM1011|1/6/2023|1/5/2024|1/6/2020|A|||
3625|NS6031050002424|1577936149538||376|||NM1011|1/6/2023|1/5/2024|1/6/2020|A|||
2765|NS6031070001298|1513061915212||302|||ND6321|12/1/2021|11/30/2022|12/4/2017|A|||
1860|NS6031070002118|1550633828442||319|||ND6150|2/25/2023|2/24/2024|2/25/2019|A|||
6691|NS6031080001361|1519791845911||365|||ND6120|3/5/2023|3/4/2024|3/5/2018|A|||
1861|NS6031080001361|1508998821335||365|||ND6320|11/1/2017|10/31/2018|10/30/2017|A|||
2829|NS6031080001390|1548126178753||360|||NM1011|1/24/2023|1/23/2024|1/24/2019|A|||
4589|NS6031080001390|1548126178753||360|||NM1011|6/19/2022|6/18/2023|6/19/2020|A|||
